golden_contact_id,surviving_contact_id,source_contact_ids,full_name,email,phone,job_title,record_quality_score,quality_grade,survivorship_reason,records_merged_count
GOLD_CON_000001,CON000001,CON000001,First0 Last0,user0@example.com,,VP,80.0,B,Highest record_quality_score,1
GOLD_CON_000002,CON000002,CON000002,First1 Last1,user1@example.com,,Director,100.0,A,Highest record_quality_score,1
GOLD_CON_000003,CON000003,CON000003,First2 Last2,user2@example.com,,Analyst,80.0,B,Highest record_quality_score,1
GOLD_CON_000004,CON000004,CON000004,First3 Last3,user3@example.com,,Director,80.0,B,Highest record_quality_score,1
GOLD_CON_000005,CON000005,CON000005,First4 Last4,user4@example.com,,Director,100.0,A,Highest record_quality_score,1
GOLD_CON_000006,CON000006,CON000006,First5 Last5,user5@example.com,,Analyst,100.0,A,Highest record_quality_score,1
GOLD_CON_000007,CON000007,CON000007,First6 Last6,user6@example.com,,Analyst,100.0,A,Highest record_quality_score,1
GOLD_CON_000008,CON000008,CON000008,First7 Last7,user7@example.com,,Manager,100.0,A,Highest record_quality_score,1
GOLD_CON_000009,CON000009,CON000009,First8 Last8,user8@example.com,,Analyst,80.0,B,Highest record_quality_score,1
GOLD_CON_000010,CON000010,CON000010,First9 Last9,user9@example.com,,Director,100.0,A,Highest record_quality_score,1
GOLD_CON_000011,CON000011,CON000011,First10 Last10,user10@example.com,,Manager,100.0,A,Highest record_quality_score,1
GOLD_CON_000012,CON000012,CON000012,First11 Last11,user11@example.com,,VP,100.0,A,Highest record_quality_score,1
GOLD_CON_000013,CON000013,CON000013,First12 Last12,user12@example.com,,VP,100.0,A,Highest record_quality_score,1
GOLD_CON_000014,CON000014,CON000014,First13 Last13,user13@example.com,,Director,100.0,A,Highest record_quality_score,1
GOLD_CON_000015,CON000015,CON000015,First14 Last14,user14@example.com,,Analyst,100.0,A,Highest record_quality_score,1
GOLD_CON_000016,CON000016,CON000016,First15 Last15,user15@example.com,,Manager,80.0,B,Highest record_quality_score,1
GOLD_CON_000017,CON000017,CON000017,First16 Last16,user16@example.com,,Manager,80.0,B,Highest record_quality_score,1
